symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2026-08-03 08:00:00+00:00,750.07,751.45,749.72,750.751,6697.0,723.0,750.761147
SPY,2026-08-03 08:01:00+00:00,750.75,751.5,750.2,750.41,43924.0,1148.0,750.978352
SPY,2026-08-03 08:02:00+00:00,750.51,750.81,750.18,750.41,27574.0,300.0,750.415916
SPY,2026-08-03 08:03:00+00:00,750.36,750.37,750.17,750.17,5349.0,61.0,750.204318
SPY,2026-08-03 08:04:00+00:00,750.17,750.22,750.05,750.05,7172.0,105.0,750.15952
SPY,2026-08-03 08:05:00+00:00,750.03,750.14,750.03,750.11,2126.0,32.0,750.099344
SPY,2026-08-03 08:06:00+00:00,750.08,751.35,750.05,750.25,2666.0,45.0,750.171735
SPY,2026-08-03 08:07:00+00:00,750.19,750.2,750.02,750.02,1817.0,39.0,750.147268
SPY,2026-08-03 08:08:00+00:00,750.01,750.04,749.93,749.98,3011.0,53.0,750.000139
SPY,2026-08-03 08:09:00+00:00,750.11,750.22,750.08,750.17,831.0,21.0,750.158482
SPY,2026-08-03 08:10:00+00:00,750.11,750.27,750.11,750.18,1012.0,15.0,750.220879
SPY,2026-08-03 08:11:00+00:00,750.21,750.23,750.14,750.17,1752.0,40.0,750.191273
SPY,2026-08-03 08:12:00+00:00,750.3,750.34,750.3,750.34,2786.0,30.0,750.302176
SPY,2026-08-03 08:13:00+00:00,750.26,750.345,750.18,750.345,670.0,16.0,750.242471
SPY,2026-08-03 08:14:00+00:00,750.43,750.43,750.41,750.41,268.0,10.0,750.42
SPY,2026-08-03 08:15:00+00:00,750.34,750.35,750.29,750.33,431.0,13.0,750.312211
SPY,2026-08-03 08:16:00+00:00,750.2,750.2,750.2,750.2,204.0,5.0,750.2
SPY,2026-08-03 08:17:00+00:00,750.1,750.1,750.1,750.1,147.0,18.0,750.1
SPY,2026-08-03 08:18:00+00:00,750.08,750.08,749.89,749.93,803.0,39.0,749.997925
SPY,2026-08-03 08:19:00+00:00,749.92,749.99,749.92,749.96,432.0,11.0,749.958719
SPY,2026-08-03 08:20:00+00:00,749.93,750.0,749.91,750.0,631.0,25.0,749.965806
SPY,2026-08-03 08:21:00+00:00,750.0,750.0,749.88,749.93,648.0,17.0,749.917471
SPY,2026-08-03 08:22:00+00:00,749.91,749.92,749.91,749.92,383.0,9.0,749.911765
SPY,2026-08-03 08:23:00+00:00,749.92,749.92,749.85,749.85,597.0,14.0,749.899474
SPY,2026-08-03 08:24:00+00:00,749.8,749.9,749.8,749.8383,5792.0,78.0,749.862436
SPY,2026-08-03 08:25:00+00:00,749.86,749.875,749.8,749.83,1388.0,18.0,749.837813
SPY,2026-08-03 08:26:00+00:00,749.8325,749.87,749.8325,749.87,306.0,12.0,749.854792
SPY,2026-08-03 08:27:00+00:00,749.68,749.81,749.65,749.81,684.0,18.0,749.684545
